City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wailua homesteads,22.0669,-159.378,23.24,89,100,0.89,US,1712887036
1,puerto francisco de orellana,-0.4667,-76.9667,24.78,91,98,1.1,EC,1712887150
2,amahai,-3.3333,128.9167,28.44,75,36,0.67,ID,1712886643
3,khodzha-maston,38.7446,68.627,10.68,79,100,2.59,TJ,1712887152
4,kili,5.6439,169.1211,27.27,85,100,7.53,MH,1712887153
5,georgetown,5.4112,100.3354,30.96,66,20,3.6,MY,1712886933
6,ancud,-41.8697,-73.8203,8.67,70,0,2.74,CL,1712887100
7,adamstown,-25.066,-130.1015,21.74,55,12,5.83,PN,1712887020
8,st. john's,47.5649,-52.7093,2.21,81,0,7.2,CA,1712886691
9,alo,7.4178,6.7371,28.0,78,100,3.09,NG,1712887160
10,la foa,-21.7108,165.8276,26.16,65,94,3.68,NC,1712887161
11,udachny,66.4167,112.4,-19.2,89,76,4.72,RU,1712887031
12,manturovo,58.3353,44.7619,6.55,81,100,4.03,RU,1712887164
13,kerikeri,-35.2268,173.9474,24.39,71,0,3.78,NZ,1712886964
14,kertih,4.5141,103.4483,27.01,89,40,0.0,MY,1712887168
15,yellowknife,62.456,-114.3525,3.29,60,20,6.17,CA,1712886779
16,port-aux-francais,-49.35,70.2167,5.75,87,100,5.13,TF,1712886785
17,knokke-heist,51.3333,3.3333,13.9,72,45,4.73,BE,1712887172
18,malmberget,67.1753,20.6549,-1.69,80,100,2.57,SE,1712887173
19,shingu,33.7333,135.9833,17.6,66,78,4.23,JP,1712886571
20,bredasdorp,-34.5322,20.0403,12.65,77,37,3.14,ZA,1712886503
21,fenghua,29.6563,121.4064,17.94,94,75,3.0,CN,1712887176
22,puerto natales,-51.7236,-72.4875,2.59,90,17,2.32,CL,1712887177
23,blackmans bay,-43.0167,147.3167,18.07,67,94,3.51,AU,1712887178
24,shahrak,34.1074,64.3052,7.1,89,100,1.55,AF,1712887179
25,grytviken,-54.2811,-36.5092,-2.02,66,6,4.49,GS,1712886774
26,pimentel,-6.8367,-79.9342,25.16,69,0,7.2,PE,1712886813
27,ipora,-16.4419,-51.1178,22.7,91,100,0.53,BR,1712887183
28,edinburgh of the seven seas,-37.0676,-12.3116,18.69,93,18,7.95,SH,1712887184
29,misratah,32.3754,15.0925,17.04,85,89,6.13,LY,1712887134
30,ilulissat,69.2167,-51.1,-9.41,96,100,2.17,GL,1712887119
31,alesund,62.4723,6.1549,10.51,66,77,7.72,NO,1712887187
32,yamada,39.4667,141.95,14.11,65,100,4.04,JP,1712887188
33,cabo san lucas,22.8909,-109.9124,25.17,56,75,3.09,MX,1712886454
34,ribeira grande,38.5167,-28.7,15.99,94,1,0.89,PT,1712886792
35,east ballina,-28.8667,153.5833,23.22,70,92,5.81,AU,1712887191
36,lospalos,-8.5186,127.0025,26.0,74,84,3.73,TL,1712887192
37,marsa alam,25.0757,34.8918,21.83,40,50,3.98,EG,1712887193
38,hermanus,-34.4187,19.2345,12.67,77,86,6.41,ZA,1712887193
39,stanley,54.868,-1.6985,11.55,87,75,6.17,GB,1712886914
40,iskateley,67.6803,53.1512,1.68,100,100,7.6,RU,1712886498
41,nadi,-17.8,177.4167,31.0,70,20,5.14,FJ,1712887004
42,sheopur,25.6667,76.7,28.81,35,100,1.93,IN,1712887197
43,funadhoo,6.15,73.2667,29.57,73,32,3.72,MV,1712887198
44,taoudenni,22.6783,-3.9836,26.28,11,0,7.29,ML,1712887199
45,salta,-24.7859,-65.4117,16.43,87,75,2.57,AR,1712886498
46,waitangi,-43.9535,-176.5597,18.23,91,99,4.92,NZ,1712887028
47,malya,-2.9833,33.5167,18.37,95,98,1.94,TZ,1712887206
48,ouro preto do oeste,-10.7481,-62.2158,23.72,96,100,1.81,BR,1712887228
49,geraldton,-28.7667,114.6,25.23,50,5,6.69,AU,1712887238
50,weno,7.4515,151.8468,28.16,79,93,6.25,FM,1712887239
51,polyarnyy,69.1989,33.4478,-1.25,88,100,10.29,RU,1712887240
52,nephi,39.7102,-111.8363,12.9,39,0,1.59,US,1712887241
53,punta arenas,-53.15,-70.9167,8.06,71,40,15.95,CL,1712887018
54,whitehorse,60.7161,-135.0538,7.43,29,75,7.72,CA,1712887044
55,makubetsu,45.3714,141.8211,9.84,71,75,11.32,JP,1712887245
56,svetlyy,54.675,20.1347,12.98,91,100,6.42,RU,1712887246
57,longyearbyen,78.2186,15.6401,-15.09,61,75,1.54,SJ,1712887247
58,kamaishi,39.2667,141.8833,13.29,72,100,3.44,JP,1712887248
59,helmbrechts,50.2356,11.7159,5.77,75,27,1.54,DE,1712887249
60,sao joao da barra,-21.6403,-41.0511,25.16,84,11,1.14,BR,1712887129
61,vila do maio,15.1333,-23.2167,21.44,80,0,5.28,CV,1712887251
62,akureyri,65.6835,-18.0878,1.96,75,100,4.12,IS,1712887116
63,talnakh,69.4865,88.3972,-25.27,98,94,4.32,RU,1712887025
64,afaahiti,-17.75,-149.2833,28.93,86,100,8.71,PF,1712887254
65,bamboo flat,11.7,92.7167,30.05,84,20,1.03,IN,1712887255
66,isafjordur,66.0755,-23.124,-3.36,93,100,12.56,IS,1712887061
67,albany,42.6001,-73.9662,15.3,80,100,2.68,US,1712887151
68,guatrache,-37.6678,-63.5302,9.55,74,100,3.28,AR,1712887259
69,darwin,-12.4611,130.8418,28.99,63,75,5.66,AU,1712887023
70,tazovsky,67.4667,78.7,-18.85,86,100,8.76,RU,1712887083
71,bilibino,68.0546,166.4372,-7.98,72,78,1.95,RU,1712887266
72,kavaratti,10.5669,72.642,29.0,70,20,3.12,IN,1712887068
73,revelstoke,50.9832,-118.2023,10.01,62,100,2.57,CA,1712887268
74,utrik,11.2278,169.8474,26.59,73,100,8.56,MH,1712887269
75,vyborg,60.7076,28.7528,6.05,97,100,4.67,RU,1712887270
76,port elizabeth,-33.918,25.5701,14.62,76,0,4.63,ZA,1712887043
77,qamdo,31.1667,97.2333,2.17,40,9,3.1,CN,1712887273
78,qashyr,53.0675,76.1036,-0.9,85,99,3.51,KZ,1712887274
79,mil'kovo,55.6078,37.7956,9.43,63,100,4.35,RU,1712886830
80,hamilton,39.1834,-84.5333,11.97,87,100,10.29,US,1712887036
